""	"C1"	"C2"	"C3"	"KO1"	"KO2"	"KO3"
"ENSMUSG00000002345.18"	2334	1063	2678	3376	2479	2391
"ENSMUSG00000002346.16"	2934	1515	3996	4627	3342	3545
"ENSMUSG00000002365.10"	1763	860	2083	2682	1890	1748
"ENSMUSG00000002372.9"	11026	4946	11901	15018	11034	11434
"ENSMUSG00000002379.7"	6667	3243	8742	10174	8163	7116
"ENSMUSG00000002384.2"	18	22	16	49	18	63
"ENSMUSG00000002393.14"	3854	2149	5058	6438	5009	4971
"ENSMUSG00000002395.14"	5601	2717	7047	8353	6343	5299
"ENSMUSG00000002396.8"	2435	1074	2640	3416	2504	2860
"ENSMUSG00000002409.18"	3172	1401	3521	4302	3370	3981
"ENSMUSG00000002413.15"	15083	6510	17363	20202	14233	18292
"ENSMUSG00000002416.13"	7190	4132	9334	11985	8447	7513
"ENSMUSG00000002428.12"	2358	1214	2949	3607	2430	2829
"ENSMUSG00000002455.14"	7273	3093	7962	9832	6977	7725
"ENSMUSG00000002458.13"	2008	938	2339	2755	2015	2204
"ENSMUSG00000002459.17"	4134	2055	4583	6286	4216	4658
"ENSMUSG00000002475.16"	6627	3006	6953	9219	7775	6413
"ENSMUSG00000002477.5"	3324	1663	3865	5251	3779	3459
